year,cycle,abbr,dem,inc,midterm,senate,pres,pres_dem,pres_natl,generic,pres_avg,pres_level,level,ref_level
1996,3,SC,-0.1932183376256296,-1,FALSE,-1,1,-0.12464014537671474,0.18855667693894732,0,-0.28543355233775536,-0.0943437322784701,-0.1932183376256296,-0.8425636372257578
1996,3,SD,0.05288963658282446,-1,FALSE,-1,1,-0.07738200615680346,0.18855667693894732,0,-0.10114199148820677,-0.09050307460829059,0.05288963658282446,-0.31265630920901266
1996,3,TN,-0.5108186001650118,0,FALSE,-1,1,0.05147705803073791,0.18855667693894732,0,-0.10582598059680717,0.10401514415483888,-0.5108186001650118,-0.05816512755339244
1996,3,TX,-0.22040922292617596,-1,FALSE,-1,1,-0.10652555605699633,0.18855667693894732,0,-0.16444420116100678,-0.08974671669935133,-0.22040922292617596,-0.6384489985066918
1996,NA,UT,NA,NA,NA,NA,NA,-0.4903754644909451,0.18855667693894732,0,-0.6371887213906119,-0.5646846831795991,NA,NA
1996,3,VA,-0.10193848304535606,-1,FALSE,-1,1,-0.04243014478010463,0.18855667693894732,0,-0.2533226514062924,-0.10228961356982787,-0.10193848304535606,-0.9528282104811423
1996,NA,VT,NA,NA,NA,NA,NA,0.5400682910878004,0.18855667693894732,0,0.18042881799864482,0.416068161070351,NA,NA
1996,NA,WA,NA,NA,NA,NA,NA,0.2897973839641146,0.18855667693894732,0,0.17721693691897092,0.30603440621197814,NA,NA
1996,NA,WI,NA,NA,NA,NA,NA,0.23788334273112363,0.18855667693894732,0,0.10047807458981262,0.11189694854341638,NA,NA
1996,3,WV,1.1885388271695345,1,FALSE,-1,1,0.3373499538316824,0.18855667693894732,0,0.21226337242026444,0.31329111415225497,1.1885388271695345,0.6064832632569803
1996,3,WY,-0.2474224709636996,0,FALSE,-1,1,-0.3017864629800203,0.18855667693894732,0,-0.30054593735288826,-0.15197275655328343,-0.2474224709636996,-0.31415302826151476
1998,1,AK,-1.3289886859867015,-1,TRUE,-1,1,-0.4233517905645763,0.18855667693894732,-0.02298951822469872,-0.47603847160068613,-0.4233517905645763,-1.3059991677620029,-0.4281136403519409
