draw,seats,natl,AK,AL,AR,AZ,CO,DE,GA,GA-S,IA,ID,IL,KS,KY,LA,MA,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
2525,51,0.547797,0.483432,0.445789,0.305954,0.492081,0.567033,0.670445,0.544447,0.469784,0.52422,0.329282,0.650301,0.421182,0.475726,0.344,0.658109,0.536043,0.548361,0.566088,0.380534,0.498122,0.492842,0.297733,0.557733,0.623998,0.543516,0.390929,0.635681,0.664468,0.485214,0.373217,0.404906,0.461124,0.539002,0.350537,0.336741
2526,48,0.522201,0.431487,0.415623,0.468921,0.506331,0.454508,0.607404,0.465773,0.38471,0.465007,0.302325,0.669538,0.411528,0.398189,0.361659,0.636069,0.491427,0.51589,0.540049,0.359777,0.458871,0.499141,0.276922,0.58287,0.594736,0.520231,0.364625,0.518211,0.812956,0.479876,0.409142,0.366325,0.399747,0.577774,0.393288,0.294893
2527,54,0.547474,0.493152,0.512769,0.469352,0.509873,0.559653,0.703062,0.505189,0.518534,0.4669,0.303548,0.651636,0.422244,0.43763,0.337992,0.665068,0.548306,0.464347,0.610571,0.450447,0.499612,0.515311,0.335688,0.545566,0.637483,0.557178,0.35096,0.655571,0.645184,0.487462,0.510035,0.386397,0.437874,0.555424,0.395129,0.364368
2528,56,0.53561,0.542651,0.375127,0.381863,0.55476,0.571988,0.708096,0.508588,0.516375,0.47068,0.430685,0.686627,0.443705,0.365529,0.349725,0.667494,0.602125,0.545046,0.563342,0.391681,0.489244,0.528387,0.318927,0.611938,0.672655,0.609235,0.373369,0.599149,0.806999,0.509334,0.365255,0.385287,0.524404,0.619178,0.395974,0.319318
2529,56,0.561777,0.482812,0.502011,0.403908,0.578525,0.528685,0.705324,0.553128,0.593252,0.537239,0.339776,0.683196,0.476326,0.497295,0.416841,0.710787,0.518662,0.628165,0.614486,0.48715,0.544577,0.537746,0.372712,0.590513,0.700011,0.640582,0.376656,0.649387,0.647528,0.470314,0.475894,0.463236,0.484569,0.637846,0.329779,0.34323
2530,49,0.52517,0.493972,0.369426,0.452445,0.481634,0.577962,0.654462,0.469856,0.410274,0.451815,0.363107,0.647996,0.440811,0.425244,0.371596,0.618086,0.55493,0.509751,0.538057,0.45274,0.383502,0.493993,0.270745,0.592585,0.611892,0.499915,0.380578,0.585752,0.733303,0.506898,0.363271,0.404472,0.455083,0.57756,0.403977,0.297089
2531,52,0.557622,0.574942,0.517711,0.270876,0.512549,0.556132,0.641995,0.494419,0.465539,0.443508,0.439061,0.712271,0.408951,0.38425,0.364582,0.640422,0.491151,0.551192,0.59195,0.463571,0.430908,0.513084,0.294607,0.616502,0.605288,0.499508,0.382874,0.57993,0.602346,0.420357,0.388974,0.373796,0.504213,0.573142,0.369265,0.240846
2532,50,0.543029,0.546488,0.441545,0.299058,0.508345,0.520547,0.72662,0.446266,0.473,0.423666,0.380357,0.676492,0.386839,0.368749,0.350631,0.624683,0.474651,0.56349,0.554989,0.457517,0.410596,0.464533,0.299667,0.60387,0.616709,0.53376,0.369411,0.552892,0.66222,0.471065,0.440515,0.396612,0.461409,0.565637,0.314966,0.261794
2533,56,0.537467,0.481747,0.462995,0.580803,0.508125,0.627573,0.685443,0.511614,0.488463,0.526342,0.335021,0.656532,0.506708,0.438398,0.425521,0.662565,0.549382,0.572295,0.562059,0.492781,0.501638,0.588095,0.348735,0.552184,0.675555,0.514481,0.390377,0.67171,0.858752,0.467357,0.413377,0.374507,0.428304,0.602738,0.349496,0.357978
2534,53,0.519941,0.489284,0.406878,0.581418,0.516499,0.619381,0.608653,0.505254,0.456116,0.496155,0.332222,0.647343,0.439944,0.417453,0.364642,0.657437,0.522585,0.581987,0.524449,0.474176,0.460055,0.551344,0.323665,0.544972,0.649739,0.508359,0.359494,0.604417,0.783421,0.452893,0.382421,0.400494,0.436208,0.619593,0.400104,0.326508
2535,52,0.511657,0.50059,0.425813,0.483693,0.49488,0.622253,0.624341,0.516495,0.445649,0.487869,0.293438,0.670067,0.435074,0.393946,0.337139,0.68312,0.530723,0.585385,0.535129,0.467089,0.463094,0.506284,0.319024,0.549479,0.684254,0.4988,0.370337,0.596272,0.825277,0.504155,0.391142,0.406688,0.454972,0.607947,0.378679,0.346449
2536,56,0.57576,0.472313,0.458007,0.315632,0.556081,0.493947,0.752639,0.540499,0.599292,0.512223,0.403472,0.650112,0.48188,0.541168,0.454511,0.697897,0.565198,0.563972,0.634087,0.43371,0.561945,0.573907,0.335192,0.647034,0.644016,0.609371,0.434064,0.656197,0.700842,0.441279,0.460587,0.422156,0.503679,0.607861,0.382282,0.312706
2537,51,0.533919,0.496069,0.429455,0.465452,0.51322,0.628646,0.673087,0.511638,0.47142,0.497419,0.316252,0.674363,0.459746,0.431164,0.349434,0.667109,0.556453,0.596789,0.527312,0.462588,0.435372,0.484913,0.254405,0.560935,0.678129,0.551543,0.410902,0.598445,0.787372,0.490688,0.384972,0.382631,0.475952,0.624412,0.352236,0.330644
2538,51,0.551442,0.460454,0.448769,0.446022,0.517665,0.436785,0.717566,0.476802,0.503506,0.485591,0.381841,0.67451,0.440538,0.469238,0.415752,0.671068,0.511702,0.542134,0.570406,0.47912,0.453393,0.544437,0.325443,0.605835,0.623479,0.509319,0.332283,0.60335,0.715041,0.460928,0.390757,0.418353,0.448192,0.593884,0.391116,0.308725
2539,55,0.557657,0.508154,0.398713,0.436608,0.558125,0.562167,0.67253,0.466295,0.515866,0.517747,0.336614,0.631477,0.459259,0.458686,0.417262,0.669916,0.573751,0.61811,0.595119,0.423756,0.469887,0.587146,0.339669,0.550736,0.634349,0.548147,0.353446,0.633211,0.751061,0.530547,0.414498,0.390132,0.461225,0.572771,0.384566,0.259176
2540,53,0.53788,0.437304,0.482165,0.434473,0.472911,0.526878,0.685482,0.580001,0.507941,0.485989,0.421008,0.659942,0.404609,0.463215,0.368923,0.71639,0.543993,0.518783,0.585188,0.529377,0.496702,0.509208,0.305195,0.653992,0.622652,0.531023,0.411467,0.621651,0.808208,0.397964,0.389555,0.463975,0.424432,0.608312,0.425103,0.381479
2541,57,0.546912,0.553165,0.437156,0.388627,0.580361,0.559615,0.725519,0.530693,0.487696,0.52336,0.36765,0.695027,0.54681,0.477914,0.397149,0.668399,0.522664,0.641475,0.576581,0.436952,0.468524,0.614442,0.328759,0.555409,0.658751,0.555577,0.40505,0.634581,0.644594,0.537786,0.43761,0.338349,0.502672,0.595596,0.374978,0.324875
2542,53,0.543317,0.496068,0.41348,0.512982,0.493615,0.501723,0.715552,0.477667,0.528335,0.475926,0.414318,0.639871,0.418021,0.491981,0.369468,0.653685,0.571584,0.552943,0.604665,0.512176,0.455679,0.553714,0.273181,0.576501,0.703443,0.532742,0.388674,0.526942,0.767522,0.421026,0.37461,0.329079,0.466838,0.526275,0.454901,0.363278
2543,59,0.56017,0.542821,0.482306,0.612843,0.510205,0.534093,0.724298,0.515412,0.511534,0.473619,0.438034,0.673178,0.412523,0.521998,0.530579,0.686607,0.638237,0.576883,0.672682,0.507577,0.524581,0.583079,0.31753,0.565282,0.727859,0.558551,0.441974,0.630475,0.752423,0.392214,0.362369,0.429467,0.497223,0.589289,0.422811,0.451193
2544,49,0.526572,0.455398,0.411111,0.248413,0.519645,0.551108,0.699159,0.526916,0.463213,0.471107,0.307134,0.630001,0.495489,0.402038,0.299641,0.679821,0.445188,0.563045,0.442937,0.415183,0.448864,0.493544,0.21956,0.600108,0.563093,0.494643,0.296541,0.588991,0.738014,0.508881,0.413145,0.393088,0.406649,0.618994,0.323675,0.18587
2545,50,0.52773,0.440278,0.382239,0.229196,0.503762,0.567246,0.705807,0.549832,0.490145,0.451243,0.334221,0.650211,0.472528,0.436181,0.306054,0.690734,0.514461,0.525002,0.46461,0.455926,0.42176,0.504359,0.232244,0.594684,0.597337,0.484279,0.279295,0.555765,0.608233,0.496456,0.417785,0.396392,0.372573,0.589425,0.327359,0.224
2546,51,0.524972,0.413391,0.468886,0.556178,0.470211,0.484512,0.632347,0.477984,0.493288,0.490905,0.333883,0.613319,0.378077,0.446064,0.375376,0.646316,0.526544,0.575863,0.629381,0.414219,0.514697,0.517385,0.292493,0.547052,0.661309,0.549452,0.444273,0.651946,0.804853,0.441306,0.346661,0.343259,0.473321,0.547342,0.414478,0.360724
2547,51,0.558279,0.531134,0.413271,0.328144,0.533052,0.59804,0.680351,0.528243,0.495211,0.495515,0.331734,0.696924,0.496122,0.446061,0.4337,0.665745,0.538145,0.544457,0.476719,0.475229,0.424445,0.465011,0.29677,0.583511,0.617698,0.483486,0.311109,0.585959,0.691772,0.505158,0.441262,0.436444,0.423854,0.631418,0.329575,0.268251
2548,52,0.566196,0.526777,0.43165,0.383676,0.520712,0.596175,0.712797,0.52101,0.499418,0.505448,0.373216,0.701286,0.479475,0.447123,0.450118,0.672121,0.545087,0.57418,0.493976,0.496972,0.427849,0.482977,0.320796,0.596941,0.615238,0.535842,0.333819,0.659504,0.733322,0.489873,0.488678,0.425848,0.44542,0.650698,0.341309,0.30299
